PLAYER_NAME,TEAM_HIST,Season,MIN,PLAYER_FGM,PLAYER_FGA,PLAYER_FG3M,PLAYER_FTM,PLAYER_FTA,PLAYER_AST,PLAYER_TOV,PLAYER_OREB,PLAYER_DREB,PLAYER_STL,PLAYER_BLK,PLAYER_PF,TEAM_FGM,TEAM_AST,TEAM_FGA,TEAM_FTM,TEAM_FTA,TEAM_PTS,TEAM_OREB,TEAM_TOV,TEAM_PF,TEAM_DREB%,TEAM_PACE,PLAYER_RAW_PER,PLAYER_PACE_CORRECTED_PER,Min * cPER,PLAYER_PER
Ricky Rubio,2021-22 IND,2021-22,970.15,149,411,59,88,103,225,90,15,126,49,7,75,3398,2081,7338,1347,1754,9140,925,1183.0,1675,0.725,100.5,0.31240118215617,0.31263949814919134,303.307209129438,14.032165254855617
Ricky Rubio,2020-21 MIN,2020-21,1771.57,193,498,66,130,150,433,111,28,195,98,4,139,2932,1846,6546,1265,1662,8073,757,1027.0,1507,0.717,104.1,0.3108845739765533,0.30288101337850176,536.5749168709524,13.53273208690923
Ricky Rubio,2019-20 PHX,2019-20,2016.3616666666667,287,692,78,195,226,570,173,46,258,94,11,167,3006,1987,6429,1451,1740,8294,712,1077.0,1609,0.734,103.7,0.36595236722158486,0.3623528357407168,730.6343677955447,16.456497774927417
Rob Edwards,2021-22 OKC,2021-22,10.85,1,4,1,0,0,0,1,0,3,0,0,0,3141,1822,7310,1233,1632,8506,854,1145.0,1497,0.727,100.8,0.007308461060745652,0.007292268372548895,0.0791211118421555,0.3272981037013214
Robert Covington,2019-20 HOU,2019-20,2136.8083333333334,305,723,161,99,124,88,103,63,400,115,93,220,2936,1557,6512,1484,1876,8482,704,1057.0,1566,0.713,106.3,0.3095828919419355,0.29904018198116594,638.991552858872,13.581111016634354
Robert Covington,2021-22 LAC,2021-22,1939.48,209,498,128,58,69,92,75,59,332,103,91,190,3285,1969,7170,1273,1606,8890,747,1126.0,1528,0.706,100.2,0.27719641270908496,0.27823843515206986,539.6378802087364,12.488146012962025
Robert Covington,2020-21 POR,2020-21,2242.778333333333,204,509,135,50,62,117,64,61,405,101,84,195,2973,1531,6558,1282,1558,8360,766,799.0,1362,0.731,100.8,0.25071757005921586,0.2522596820972785,565.7625493813307,11.27096959981866
Robert Franks,2020-21 ORL,2020-21,100.71666666666667,13,28,5,12,13,5,2,6,8,3,3,8,2754,1571,6423,1196,1543,7488,747,924.0,1237,0.744,100.8,0.35949142830724384,0.3617025859019908,36.429478776762174,16.160881580374898
Robert Williams III,2019-20 BOS,2019-20,387.7733333333333,64,88,0,22,34,27,21,40,88,22,35,51,2971,1655,6448,1336,1668,8183,768,995.0,1553,0.731,101.9,0.48925272457756336,0.49299774052624346,191.17137716966317,22.389824005185034
Robert Williams III,2020-21 BOS,2020-21,985.25,186,258,0,45,73,94,52,133,225,43,91,105,2985,1689,6401,1160,1496,8109,765,1012.0,1471,0.737,100.7,0.5517576393760593,0.5557026791014889,547.5060645847419,24.828811130727406
Robert Williams III,2021-22 BOS,2021-22,1804.3333333333333,271,368,0,65,90,121,63,238,350,56,134,137,3341,2036,7167,1397,1713,9164,863,1118.0,1521,0.725,99.0,0.46672288052015376,0.4741558745432525,855.5352496342085,21.281487552083043
Robert Woodard II,2020-21 SAC,2020-21,45.38,8,20,1,3,8,2,1,4,12,0,3,4,3067,1836,6382,1181,1585,8189,674,963.0,1400,0.713,102.2,0.2885162116486152,0.28631422881998586,12.99293970385096,12.792527692876211
Robert Woodard II,2021-22 SAS,2021-22,42.193333333333335,2,16,1,2,2,3,1,5,6,1,1,3,3546,2289,7601,1262,1673,9279,901,1043.0,1483,0.711,102.4,0.05891547376945221,0.057866425457216195,2.441577378124809,2.5972126027913465
Robin Lopez,2019-20 MIL,2019-20,958.1083333333333,147,299,35,28,53,45,63,56,105,10,45,96,3160,1889,6638,1336,1800,8663,691,1102.0,1431,0.775,107.2,0.23206192385223834,0.22227722333160294,212.9656599842032,10.094869614297702
Robin Lopez,2021-22 ORL,2021-22,611.9033333333333,110,199,2,32,54,54,44,68,58,2,18,67,3139,1947,7240,1270,1614,8547,746,1188.0,1612,0.735,101.5,0.3003841858659293,0.2976516269337499,182.13402269285135,13.359466229433028
Robin Lopez,2020-21 WAS,2020-21,1353.565,269,425,5,99,137,55,75,141,131,15,44,109,3108,1835,6547,1449,1884,8398,697,1036.0,1555,0.736,106.4,0.38160596552826337,0.3637450848108691,492.35261572202404,16.252140488331314
Rodions Kurucs,2019-20 BKN,2019-20,683.525,79,177,33,24,38,51,46,25,112,25,5,90,2908,1761,6498,1291,1732,8048,766,1099.0,1510,0.736,104.0,0.20245627985371642,0.1998866424555731,136.62751728444562,9.077986322595308
Rodions Kurucs,2020-21 MIL,2020-21,124.53333333333333,11,32,6,3,4,10,13,5,18,9,4,16,3221,1834,6610,1169,1539,8649,741,995.0,1244,0.755,104.4,0.1525114339311669,0.14815813821167573,18.450626811960685,6.61970972874521
Rodney Hood,2021-22 LAC,2021-22,709.435,58,157,30,17,19,38,11,15,62,15,6,31,3285,1969,7170,1273,1606,8890,747,1126.0,1528,0.706,100.2,0.16333910203406304,0.1639531179532197,116.31408023514241,7.358690308767581
